tribunal,grau,codigo_classe,codigo_formato,orgao_codigo,orgao_nome,data_julgamento,codigo_assunto,data_ajuizamento,tempo_julgamento,assunto_nivel1,assunto_nivel2,assunto_nivel3,assunto_nivel4,assunto_nivel5,classe_nivel1,classe_nivel2,classe_nivel3,classe_nivel4,classe_nivel5,numero_processo
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,10395,2002-07-23,2940,9985,10394.0,10395.0,,,2,158.0,1116.0,,,00431537220028230010
TJRR,G1,1116,1,84323,VARA DE EXECUÇÃO FISCAL,2010-08-09,5946,2002-07-23,2939,14,5916.0,5946.0,,,2,158.0,1116.0,,,00431432820028230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-10-26,5946,2001-01-09,3577,14,5916.0,5946.0,,,2,158.0,1116.0,,,00097037520018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,1999-08-13,4015,14,5916.0,5946.0,,,2,158.0,1116.0,,,00098145920018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,1999-08-14,4014,14,5916.0,5946.0,,,2,158.0,1116.0,,,00094898420018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2006-05-03,5946,1999-08-16,2452,14,5916.0,5946.0,,,2,158.0,1116.0,,,00034238820018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2011-02-15,5946,1999-08-17,4200,14,5916.0,5946.0,,,2,158.0,1116.0,,,00192634120018230010
TJRR,G1,1116,1,84323,VARA DE EXECUÇÃO FISCAL,2007-07-28,5946,1999-08-18,2901,14,5916.0,5946.0,,,2,158.0,1116.0,,,00156501320018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-10-26,5946,2001-01-17,3569,14,5916.0,5946.0,,,2,158.0,1116.0,,,00190650420018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2011-02-15,5946,2001-01-30,3668,14,5916.0,5946.0,,,2,158.0,1116.0,,,00030583420018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2015-09-24,5946,2001-11-16,5060,14,5916.0,5946.0,,,2,158.0,1116.0,,,00090212320018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,1999-03-12,4169,14,5916.0,5946.0,,,2,158.0,1116.0,,,00157186020018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2006-07-20,5946,1999-08-18,2528,14,5916.0,5946.0,,,2,158.0,1116.0,,,00094551220018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,2001-11-21,3184,14,5916.0,5946.0,,,2,158.0,1116.0,,,00031492720018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,1999-03-18,4163,14,5916.0,5946.0,,,2,158.0,1116.0,,,00095910920018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,1999-08-18,4010,14,5916.0,5946.0,,,2,158.0,1116.0,,,00094802520018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,1999-08-19,4009,14,5916.0,5946.0,,,2,158.0,1116.0,,,00094976120018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2011-02-18,5946,1999-04-13,4329,14,5916.0,5946.0,,,2,158.0,1116.0,,,00032567120018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2010-10-09,5946,1999-04-13,4197,14,5916.0,5946.0,,,2,158.0,1116.0,,,00038317920018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2009-11-24,10023,1999-08-19,3750,9985,9997.0,10022.0,10023.0,,2,158.0,1116.0,,,00098215120018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2010-09-23,5946,1999-08-20,4052,14,5916.0,5946.0,,,2,158.0,1116.0,,,00196721720018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-13,5946,1999-04-16,4137,14,5916.0,5946.0,,,2,158.0,1116.0,,,00192374320018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-08-10,5946,1999-04-22,4128,14,5916.0,5946.0,,,2,158.0,1116.0,,,00094534220018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2005-06-07,5946,2001-11-22,1293,14,5916.0,5946.0,,,2,158.0,1116.0,,,00097929820018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-10-22,5946,1999-04-22,4201,14,5916.0,5946.0,,,2,158.0,1116.0,,,00098422720018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2010-09-23,5946,2001-11-17,3232,14,5916.0,5946.0,,,2,158.0,1116.0,,,00093442820018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2010-09-02,5946,1999-04-23,4150,14,5916.0,5946.0,,,2,158.0,1116.0,,,00035883820018230010
TJRR,G1,1116,1,84323,VARA DE EXECUÇÃO FISCAL,2010-08-10,5946,2001-11-17,3188,14,5916.0,5946.0,,,2,158.0,1116.0,,,00092715620018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-04-27,5946,1999-08-20,3903,14,5916.0,5946.0,,,2,158.0,1116.0,,,00156545020018230010
TJRR,G1,1116,1,2770,2ª VARA DA FAZENDA PÚBLICA,2010-10-26,5946,2001-11-24,3258,14,5916.0,5946.0,,,2,158.0,1116.0,,,00158424320018230010
TJRR,G1,1116,1,2764,1ª VARA DA FAZENDA PÚBLICA,2010-07-28,10395,2001-01-10,3486,9985,10394.0,10395.0,,,2,158.0,1116.0,,,00035979720018230010
TJRR,G1,1116,1,84323,VARA DE EXECUÇÃO FISCAL,2010-09-24,5946,2001-01-10,3544,14,5916.0,5946.0,,,2,158.0,1116.0,,,00030237420018230010
